Code,Product Name,Malayalam Name,Category,Default Image URL,Variants Count,Default Variant
"ANG-BEV-1288","Mountain Dew Code Red Cherry Flavoured Soda","മൗണ്ടൻ ഡ്യൂ കോഡ് റെഡ് ചെറി ഫ്ലേവർ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/mountain_dew_code_red_cherry_f_1789453105267.png",2,"355ml Can"
"ANG-BEV-1289","Mountain Dew Voltage Raspberry Citrus Soda","മൗണ്ടൻ ഡ്യൂ വോൾട്ടേജ് റാസ്പ്ബെറി സിട്രസ്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/mountain_dew_voltage_raspberry_1789453107292.png",2,"355ml Can"
"ANG-BEV-1290","Mountain Dew Diet Dew Citrus Drink","ഡയറ്റ് മൗണ്ടൻ ഡ്യൂ സിട്രസ് ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/mountain_dew_diet_dew_citrus_d_1789453109194.png",2,"355ml Can"
"ANG-BEV-1291","Coca-Cola Original Taste Cola","കൊക്കക്കോള ഒറിജിനൽ ടേസ്റ്റ് കോള","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/coca_cola_original_taste_cola_1789453110770.webp",7,"750ml Bottle"
"ANG-BEV-1292","Coca-Cola Zero Sugar Soft Drink","കൊക്കക്കോള സീറോ ഷുഗർ സോഫ്റ്റ്‌ ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/coca_cola_zero_sugar_soft_drin_1789453111978.webp",3,"250ml Can"
"ANG-BEV-1293","Diet Coke Soft Drink","ഡയറ്റ് കോക്ക് സോഫ്റ്റ്‌ ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/diet_coke_soft_drink_1789453113661.webp",3,"250ml Can"
"ANG-BEV-1294","Sprite Lemon-Lime Flavoured Drink","സ്പ്രൈറ്റ് ലെമൺ ലൈം സോഫ്റ്റ്‌ ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/sprite_lemon_lime_flavoured_dr_1789453115489.webp",7,"750ml Bottle"
"ANG-BEV-1295","Thums Up Charged Fizzy Cola","തംസ് അപ്പ് ചാർജ്ഡ് ഫിസ്സി കോള","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/thums_up_charged_fizzy_cola_1789453117844.webp",7,"750ml Bottle"
"ANG-BEV-1296","Thums Up X-Force Strong Fizzy Cola","തംസ് അപ്പ് എക്സ്-ഫോഴ്സ് കോള","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/thums_up_x_force_strong_fizzy__1789453120187.webp",3,"500ml Bottle"
"ANG-BEV-1297","Limca Lemon & Lime Flavoured Drink","ലിംക ലെമൺ & ലൈം ഫ്ലേവർഡ് ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/limca_lemon_lime_flavoured_dri_1789453121797.webp",6,"750ml Bottle"
"ANG-BEV-1298","Fanta Orange Flavoured Drink","ഫാന്റാ ഓറഞ്ച് ഫ്ലേവർഡ് ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/fanta_orange_flavoured_drink_1789453123516.webp",7,"750ml Bottle"
"ANG-BEV-1299","Fanta Apple Delite Fizzy Drink","ഫാന്റാ ആപ്പിൾ ഡിലൈറ്റ് ഫിസ്സി ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/fanta_apple_delite_fizzy_drink_1789453125090.webp",3,"750ml Bottle"
"ANG-BEV-1300","Maaza Real Mango Juice Drink","മാസ മാമ്പഴ ജ്യൂസ് ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/maaza_real_mango_juice_drink_1789453127117.webp",4,"600ml Bottle"
"ANG-BEV-1301","Minute Maid Pulpy Orange Juice Drink","മിനിറ്റ് മെയ്ഡ് പൾപ്പി ഓറഞ്ച് ജ്യൂസ്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/minute_maid_pulpy_orange_juice_1789453128855.webp",3,"400ml Bottle"
"ANG-BEV-1302","Minute Maid Honey Infused Apple Juice","മിനിറ്റ് മെയ്ഡ് ഹണി ഇൻഫ്യൂസ്ഡ് ആപ്പിൾ ജ്യൂസ്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/minute_maid_honey_infused_appl_1789453130535.webp",2,"150ml Tetra Pack"
"ANG-BEV-1303","Minute Maid Honey Infused Guava Juice","മിനിറ്റ് മെയ്ഡ് ഹണി ഇൻഫ്യൂസ്ഡ് ഗ്വാവ ജ്യൂസ്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/minute_maid_honey_infused_guav_1789453132485.webp",2,"150ml Tetra Pack"
"ANG-BEV-1304","Minute Maid Honey Infused Mixed Fruit Juice","മിനിറ്റ് മെയ്ഡ് ഹണി ഇൻഫ്യൂസ്ഡ് മിക്സഡ് ഫ്രൂട്ട് ജ്യൂസ്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/minute_maid_honey_infused_mixe_1789453134330.webp",2,"150ml Tetra Pack"
"ANG-BEV-1305","Minute Maid Vita Punch Apple Berry Drink","മിനിറ്റ് മെയ്ഡ് വീറ്റാ പഞ്ച് ആപ്പിൾ ബെറി","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/minute_maid_vita_punch_apple_b_1789453135959.webp",2,"150ml Tetra Pack"
"ANG-BEV-1306","Minute Maid Vita Punch Mixed Fruit Drink","മിനിറ്റ് മെയ്ഡ് വീറ്റാ പഞ്ച് മിക്സഡ് ഫ്രൂട്ട്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/minute_maid_vita_punch_mixed_f_1789453137889.webp",2,"150ml Tetra Pack"
"ANG-BEV-1307","Kinley Packaged Drinking Water","കിൻലെ പാക്കേജ്ഡ് ഡ്രിങ്കിംഗ് വാട്ടർ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/kinley_packaged_drinking_water_1789453139357.webp",4,"1L Bottle"
"ANG-BEV-1308","Kinley Club Soda","കിൻലെ ക്ലബ്ബ് സോഡ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/kinley_club_soda_1789453141095.webp",3,"750ml Bottle"
"ANG-BEV-1309","Kinley Copper Extra Mineral Water","കിൻലെ കോപ്പർ മിനറൽ വാട്ടർ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/kinley_copper_extra_mineral_wa_1789453142787.webp",2,"1L Bottle"
