catalog_id,category,subcategory,master_product,brand,selling_mode,unit_group,variants,description,price_mrp,selling_price,image_url
H0016,Household Essentials,Dishwashing,Dishwash Liquid,D-Waash,Packed,Volume,250ml|500ml|1L,"Dishwash Liquid from D-Waash, suitable for everyday dishwashing use.",,,
H0017,Household Essentials,Dishwashing,Dishwash Liquid,Mulla,Packed,Volume,250ml|500ml|1L,"Dishwash Liquid from Mulla, suitable for everyday dishwashing use.",,,
H0018,Household Essentials,Dishwashing,Dishwash Liquid,Triplus,Packed,Volume,250ml|500ml|1L,"Dishwash Liquid from Triplus, suitable for everyday dishwashing use.",,,
H0019,Household Essentials,Dishwashing,Dishwash Liquid,Prakrithi,Packed,Volume,250ml|500ml|1L,"Dishwash Liquid from Prakrithi, suitable for everyday dishwashing use.",,,
H0020,Household Essentials,Dishwashing,Dishwash Bar,Vim,Packed,Weight,100g|200g,"Dishwash Bar from Vim, suitable for everyday dishwashing use.",,,
H0021,Household Essentials,Dishwashing,Dishwash Bar,Exo,Packed,Weight,100g|200g,"Dishwash Bar from Exo, suitable for everyday dishwashing use.",,,
H0022,Household Essentials,Cleaning,Floor Cleaner,Lizol,Packed,Volume,500ml|1L|5L,"Floor Cleaner from Lizol, suitable for everyday cleaning use.",,,
H0023,Household Essentials,Cleaning,Floor Cleaner,D-Waash,Packed,Volume,500ml|1L|5L,"Floor Cleaner from D-Waash, suitable for everyday cleaning use.",,,
H0024,Household Essentials,Cleaning,Floor Cleaner,Triplus,Packed,Volume,500ml|1L|5L,"Floor Cleaner from Triplus, suitable for everyday cleaning use.",,,
H0025,Household Essentials,Cleaning,Floor Cleaner,Limex,Packed,Volume,500ml|1L|5L,"Floor Cleaner from Limex, suitable for everyday cleaning use.",,,
H0026,Household Essentials,Cleaning,Floor Cleaner,Prakrithi,Packed,Volume,500ml|1L|5L,"Floor Cleaner from Prakrithi, suitable for everyday cleaning use.",,,
H0027,Household Essentials,Cleaning,Floor Cleaner,Local / Shop Brand,Packed,Volume,500ml|1L|5L,"Floor Cleaner from Local / Shop Brand, suitable for everyday cleaning use.",,,
H0028,Household Essentials,Bathroom,Toilet Cleaner,Harpic,Packed,Volume,200ml|500ml|1L,"Toilet Cleaner from Harpic, suitable for everyday bathroom use.",,,
H0029,Household Essentials,Bathroom,Toilet Cleaner,D-Waash,Packed,Volume,200ml|500ml|1L,"Toilet Cleaner from D-Waash, suitable for everyday bathroom use.",,,
H0030,Household Essentials,Bathroom,Toilet Cleaner,Triplus,Packed,Volume,200ml|500ml|1L,"Toilet Cleaner from Triplus, suitable for everyday bathroom use.",,,
H0031,Household Essentials,Bathroom,Toilet Cleaner,Prakrithi,Packed,Volume,200ml|500ml|1L,"Toilet Cleaner from Prakrithi, suitable for everyday bathroom use.",,,
H0032,Household Essentials,Cleaning,Glass Cleaner,Colin,Packed,Volume,250ml|500ml,"Glass Cleaner from Colin, suitable for everyday cleaning use.",,,
H0033,Household Essentials,Cleaning,Glass Cleaner,Triplus,Packed,Volume,250ml|500ml,"Glass Cleaner from Triplus, suitable for everyday cleaning use.",,,
H0034,Household Essentials,Cleaning,All Purpose Cleaner,Triplus,Packed,Volume,500ml|1L,"All Purpose Cleaner from Triplus, suitable for everyday cleaning use.",,,
H0035,Household Essentials,Cleaning,All Purpose Cleaner,D-Waash,Packed,Volume,500ml|1L,"All Purpose Cleaner from D-Waash, suitable for everyday cleaning use.",,,
H0036,Household Essentials,Cleaning,Disinfectant Liquid,Dettol,Packed,Volume,250ml|500ml|1L,"Disinfectant Liquid from Dettol, suitable for everyday cleaning use.",,,
H0037,Household Essentials,Cleaning,Disinfectant Liquid,Savlon,Packed,Volume,250ml|500ml|1L,"Disinfectant Liquid from Savlon, suitable for everyday cleaning use.",,,
H0038,Household Essentials,Hand Hygiene,Hand Wash,Dettol,Packed,Volume,200ml|250ml|500ml,"Hand Wash from Dettol, suitable for everyday hand hygiene use.",,,
H0039,Household Essentials,Hand Hygiene,Hand Wash,Lifebuoy,Packed,Volume,200ml|250ml|500ml,"Hand Wash from Lifebuoy, suitable for everyday hand hygiene use.",,,
H0040,Household Essentials,Hand Hygiene,Hand Wash,Savlon,Packed,Volume,200ml|250ml|500ml,"Hand Wash from Savlon, suitable for everyday hand hygiene use.",,,
H0041,Household Essentials,Hand Hygiene,Hand Wash,D-Waash,Packed,Volume,200ml|250ml|500ml,"Hand Wash from D-Waash, suitable for everyday hand hygiene use.",,,
H0042,Household Essentials,Hand Hygiene,Hand Wash,Prakrithi,Packed,Volume,200ml|250ml|500ml,"Hand Wash from Prakrithi, suitable for everyday hand hygiene use.",,,
H0043,Household Essentials,Home Utility,Garbage Bags,Gala,Packed,Count,10pc|20pc|30pc|50pc,"Garbage Bags from Gala, suitable for everyday home utility use.",,,
H0044,Household Essentials,Home Utility,Garbage Bags,Local / Shop Brand,Packed,Count,10pc|20pc|30pc|50pc,"Garbage Bags from Local / Shop Brand, suitable for everyday home utility use.",,,
H0045,Household Essentials,Home Utility,Aluminium Foil,Freshwrapp,Packed,Count,9m|18m|72m,"Aluminium Foil from Freshwrapp, suitable for everyday home utility use.",,,
H0046,Household Essentials,Home Utility,Cling Film,Freshwrapp,Packed,Count,9m|18m|30m,"Cling Film from Freshwrapp, suitable for everyday home utility use.",,,
H0047,Household Essentials,Home Utility,Tissue Paper,Origami,Packed,Count,50pull|100pull|200pull,"Tissue Paper from Origami, suitable for everyday home utility use.",,,
H0048,Household Essentials,Home Utility,Toilet Tissue,Origami,Packed,Count,2roll|4roll|6roll|10roll,"Toilet Tissue from Origami, suitable for everyday home utility use.",,,
H0049,Household Essentials,Cleaning Tools,Floor Mop,Gala,Packed,Count,1pc,"Floor Mop from Gala, suitable for everyday cleaning tools use.",,,
H0050,Household Essentials,Cleaning Tools,Floor Wiper,Gala,Packed,Count,1pc,"Floor Wiper from Gala, suitable for everyday cleaning tools use.",,,
H0051,Household Essentials,Cleaning Tools,Cleaning Brush,Gala,Packed,Count,1pc,"Cleaning Brush from Gala, suitable for everyday cleaning tools use.",,,
H0052,Household Essentials,Cleaning Tools,Toilet Brush,Gala,Packed,Count,1pc,"Toilet Brush from Gala, suitable for everyday cleaning tools use.",,,
H0053,Household Essentials,Cleaning Tools,Broom,Local / Shop Brand,Packed,Count,1pc,"Broom from Local / Shop Brand, suitable for everyday cleaning tools use.",,,
H0054,Household Essentials,Cleaning Tools,Coconut Leaf Broom,Local / Shop Brand,Packed,Count,1pc,"Coconut Leaf Broom from Local / Shop Brand, suitable for everyday cleaning tools use.",,,
H0055,Household Essentials,Cleaning Tools,Microfiber Cloth,Gala,Packed,Count,1pc|2pc|3pc,"Microfiber Cloth from Gala, suitable for everyday cleaning tools use.",,,
H0056,Household Essentials,Pest Control,Mosquito Coil,Mortein,Packed,Count,10pc|20pc,"Mosquito Coil from Mortein, suitable for everyday pest control use.",,,
H0057,Household Essentials,Pest Control,Mosquito Coil,Good Knight,Packed,Count,10pc|20pc,"Mosquito Coil from Good Knight, suitable for everyday pest control use.",,,
H0058,Household Essentials,Pest Control,Mosquito Repellent Liquid,Good Knight,Packed,Volume,45ml|60ml,"Mosquito Repellent Liquid from Good Knight, suitable for everyday pest control use.",,,
H0059,Household Essentials,Pest Control,Mosquito Repellent Liquid,All Out,Packed,Volume,45ml|60ml,"Mosquito Repellent Liquid from All Out, suitable for everyday pest control use.",,,
H0060,Household Essentials,Cleaning,Anti-Ant Powder,D-Waash,Packed,Weight,50g|100g,"Anti-Ant Powder from D-Waash, suitable for everyday cleaning use.",,,
H0061,Household Essentials,Lighting,Matchbox,Homelites,Packed,Count,1box|10box,"Matchbox from Homelites, suitable for everyday lighting use.",,,
H0062,Household Essentials,Lighting,Matchbox,Local / Shop Brand,Packed,Count,1box|10box,"Matchbox from Local / Shop Brand, suitable for everyday lighting use.",,,
H0063,Household Essentials,Lighting,Candle,Local / Shop Brand,Packed,Count,2pc|4pc|6pc|12pc,"Candle from Local / Shop Brand, suitable for everyday lighting use.",,,
H0064,Household Essentials,Electrical,AA Battery,Eveready,Packed,Count,2pc|4pc,"AA Battery from Eveready, suitable for everyday electrical use.",,,
H0065,Household Essentials,Electrical,AA Battery,Duracell,Packed,Count,2pc|4pc,"AA Battery from Duracell, suitable for everyday electrical use.",,,
H0066,Household Essentials,Electrical,AAA Battery,Eveready,Packed,Count,2pc|4pc,"AAA Battery from Eveready, suitable for everyday electrical use.",,,
H0067,Household Essentials,Electrical,AAA Battery,Duracell,Packed,Count,2pc|4pc,"AAA Battery from Duracell, suitable for everyday electrical use.",,,
H0068,Household Essentials,Kitchen Utility,Food Storage Container,Milton,Packed,Count,1pc|3pc,"Food Storage Container from Milton, suitable for everyday kitchen utility use.",,,
H0069,Household Essentials,Kitchen Utility,Food Storage Container,Cello,Packed,Count,1pc|3pc,"Food Storage Container from Cello, suitable for everyday kitchen utility use.",,,
H0070,Household Essentials,Kitchen Utility,Water Bottle,Milton,Packed,Count,1pc,"Water Bottle from Milton, suitable for everyday kitchen utility use.",,,
H0071,Household Essentials,Kitchen Utility,Water Bottle,Cello,Packed,Count,1pc,"Water Bottle from Cello, suitable for everyday kitchen utility use.",,,
H0072,Household Essentials,Kitchen Utility,Lunch Box,Milton,Packed,Count,1pc,"Lunch Box from Milton, suitable for everyday kitchen utility use.",,,
H0073,Household Essentials,Kitchen Utility,Lunch Box,Cello,Packed,Count,1pc,"Lunch Box from Cello, suitable for everyday kitchen utility use.",,,
H0074,Household Essentials,Kitchen Utility,Plastic Bucket,Cello,Packed,Count,1pc,"Plastic Bucket from Cello, suitable for everyday kitchen utility use.",,,
H0075,Household Essentials,Kitchen Utility,Plastic Bucket,Local / Shop Brand,Packed,Count,1pc,"Plastic Bucket from Local / Shop Brand, suitable for everyday kitchen utility use.",,,
H0076,Household Essentials,Kitchen Utility,Plastic Mug,Cello,Packed,Count,1pc,"Plastic Mug from Cello, suitable for everyday kitchen utility use.",,,
H0077,Household Essentials,Kitchen Utility,Plastic Mug,Local / Shop Brand,Packed,Count,1pc,"Plastic Mug from Local / Shop Brand, suitable for everyday kitchen utility use.",,,
H0078,Household Essentials,Kitchen Utility,Storage Container,Cello,Packed,Count,1pc|3pc,"Storage Container from Cello, suitable for everyday kitchen utility use.",,,
H0079,Household Essentials,Kitchen Utility,Storage Container,Milton,Packed,Count,1pc|3pc,"Storage Container from Milton, suitable for everyday kitchen utility use.",,,
H0080,Household Essentials,Personal Care,Bath Soap,Chandrika,Packed,Weight,75g|100g|125g,"Bath Soap from Chandrika, suitable for everyday personal care use.",,,
H0081,Household Essentials,Personal Care,Bath Soap,Medimix,Packed,Weight,75g|100g|125g,"Bath Soap from Medimix, suitable for everyday personal care use.",,,
H0082,Household Essentials,Personal Care,Bath Soap,Lux,Packed,Weight,75g|100g|125g,"Bath Soap from Lux, suitable for everyday personal care use.",,,
H0083,Household Essentials,Personal Care,Bath Soap,Lifebuoy,Packed,Weight,75g|100g|125g,"Bath Soap from Lifebuoy, suitable for everyday personal care use.",,,
H0084,Household Essentials,Personal Care,Bath Soap,Dove,Packed,Weight,75g|100g|125g,"Bath Soap from Dove, suitable for everyday personal care use.",,,
H0085,Household Essentials,Personal Care,Shampoo,Clinic Plus,Packed,Volume,80ml|180ml|340ml,"Shampoo from Clinic Plus, suitable for everyday personal care use.",,,
H0086,Household Essentials,Personal Care,Shampoo,Sunsilk,Packed,Volume,80ml|180ml|340ml,"Shampoo from Sunsilk, suitable for everyday personal care use.",,,
H0087,Household Essentials,Personal Care,Shampoo,Dove,Packed,Volume,80ml|180ml|340ml,"Shampoo from Dove, suitable for everyday personal care use.",,,
H0088,Household Essentials,Oral Care,Toothpaste,Colgate,Packed,Weight,50g|100g|200g,"Toothpaste from Colgate, suitable for everyday oral care use.",,,
H0089,Household Essentials,Oral Care,Toothpaste,Closeup,Packed,Weight,50g|100g|200g,"Toothpaste from Closeup, suitable for everyday oral care use.",,,
H0090,Household Essentials,Oral Care,Toothpaste,Sensodyne,Packed,Weight,50g|100g|200g,"Toothpaste from Sensodyne, suitable for everyday oral care use.",,,
H0091,Household Essentials,Oral Care,Toothbrush,Colgate,Packed,Count,1pc|2pc,"Toothbrush from Colgate, suitable for everyday oral care use.",,,
H0092,Household Essentials,Oral Care,Toothbrush,Oral-B,Packed,Count,1pc|2pc,"Toothbrush from Oral-B, suitable for everyday oral care use.",,,
S0001,Stationery,Writing,Ballpoint Pen,Cello,Packed,Count,1pc|5pc|10pc,"Ballpoint Pen from Cello, suitable for everyday writing use.",,,
S0002,Stationery,Writing,Ballpoint Pen,Linc,Packed,Count,1pc|5pc|10pc,"Ballpoint Pen from Linc, suitable for everyday writing use.",,,
S0003,Stationery,Writing,Ballpoint Pen,Flair,Packed,Count,1pc|5pc|10pc,"Ballpoint Pen from Flair, suitable for everyday writing use.",,,
S0004,Stationery,Writing,Ballpoint Pen,Reynolds,Packed,Count,1pc|5pc|10pc,"Ballpoint Pen from Reynolds, suitable for everyday writing use.",,,
S0005,Stationery,Writing,Ballpoint Pen,Classmate,Packed,Count,1pc|5pc|10pc,"Ballpoint Pen from Classmate, suitable for everyday writing use.",,,
S0006,Stationery,Writing,Gel Pen,Cello,Packed,Count,1pc|5pc|10pc,"Gel Pen from Cello, suitable for everyday writing use.",,,
S0007,Stationery,Writing,Gel Pen,Linc,Packed,Count,1pc|5pc|10pc,"Gel Pen from Linc, suitable for everyday writing use.",,,
S0008,Stationery,Writing,Gel Pen,Uniball,Packed,Count,1pc|5pc|10pc,"Gel Pen from Uniball, suitable for everyday writing use.",,,
S0009,Stationery,Writing,Gel Pen,Pentonic,Packed,Count,1pc|5pc|10pc,"Gel Pen from Pentonic, suitable for everyday writing use.",,,
S0010,Stationery,Writing,Fountain Pen,Parker,Packed,Count,1pc,"Fountain Pen from Parker, suitable for everyday writing use.",,,
S0011,Stationery,Writing,Pencil,Apsara,Packed,Count,1pc|5pc|10pc,"Pencil from Apsara, suitable for everyday writing use.",,,
S0012,Stationery,Writing,Pencil,Nataraj,Packed,Count,1pc|5pc|10pc,"Pencil from Nataraj, suitable for everyday writing use.",,,
S0013,Stationery,Writing,Pencil,DOMS,Packed,Count,1pc|5pc|10pc,"Pencil from DOMS, suitable for everyday writing use.",,,
S0014,Stationery,Writing,Pencil,Faber-Castell,Packed,Count,1pc|5pc|10pc,"Pencil from Faber-Castell, suitable for everyday writing use.",,,
S0015,Stationery,Writing,Mechanical Pencil,Faber-Castell,Packed,Count,1pc,"Mechanical Pencil from Faber-Castell, suitable for everyday writing use.",,,
S0016,Stationery,Writing,Eraser,Apsara,Packed,Count,1pc|5pc|10pc,"Eraser from Apsara, suitable for everyday writing use.",,,
S0017,Stationery,Writing,Eraser,DOMS,Packed,Count,1pc|5pc|10pc,"Eraser from DOMS, suitable for everyday writing use.",,,
S0018,Stationery,Writing,Eraser,Faber-Castell,Packed,Count,1pc|5pc|10pc,"Eraser from Faber-Castell, suitable for everyday writing use.",,,
S0019,Stationery,Writing,Sharpener,Apsara,Packed,Count,1pc|5pc|10pc,"Sharpener from Apsara, suitable for everyday writing use.",,,
S0020,Stationery,Writing,Sharpener,DOMS,Packed,Count,1pc|5pc|10pc,"Sharpener from DOMS, suitable for everyday writing use.",,,
S0021,Stationery,Writing,Sharpener,Faber-Castell,Packed,Count,1pc|5pc|10pc,"Sharpener from Faber-Castell, suitable for everyday writing use.",,,
S0022,Stationery,Writing,Permanent Marker,Artline,Packed,Count,1pc,"Permanent Marker from Artline, suitable for everyday writing use.",,,
S0023,Stationery,Writing,Whiteboard Marker,Camlin,Packed,Count,1pc,"Whiteboard Marker from Camlin, suitable for everyday writing use.",,,
S0024,Stationery,Writing,Whiteboard Marker,Artline,Packed,Count,1pc,"Whiteboard Marker from Artline, suitable for everyday writing use.",,,
S0025,Stationery,Writing,Highlighter,Faber-Castell,Packed,Count,1pc,"Highlighter from Faber-Castell, suitable for everyday writing use.",,,
S0026,Stationery,Writing,Highlighter,Artline,Packed,Count,1pc,"Highlighter from Artline, suitable for everyday writing use.",,,
S0027,Stationery,Paper,School Notebook,Classmate,Packed,Count,1pc,"School Notebook from Classmate, suitable for everyday paper use.",,,
S0028,Stationery,Paper,School Notebook,Navneet,Packed,Count,1pc,"School Notebook from Navneet, suitable for everyday paper use.",,,
S0029,Stationery,Paper,School Notebook,Bilt,Packed,Count,1pc,"School Notebook from Bilt, suitable for everyday paper use.",,,
S0030,Stationery,Paper,School Notebook,Sundaram,Packed,Count,1pc,"School Notebook from Sundaram, suitable for everyday paper use.",,,
S0031,Stationery,Paper,School Notebook,ITC,Packed,Count,1pc,"School Notebook from ITC, suitable for everyday paper use.",,,
S0032,Stationery,Paper,School Notebook,Local Kerala Brand,Packed,Count,1pc,"School Notebook from Local Kerala Brand, suitable for everyday paper use.",,,
S0033,Stationery,Paper,Long Notebook,Classmate,Packed,Count,1pc,"Long Notebook from Classmate, suitable for everyday paper use.",,,
S0034,Stationery,Paper,Long Notebook,Navneet,Packed,Count,1pc,"Long Notebook from Navneet, suitable for everyday paper use.",,,
S0035,Stationery,Paper,Long Notebook,Bilt,Packed,Count,1pc,"Long Notebook from Bilt, suitable for everyday paper use.",,,
S0036,Stationery,Paper,Practical Notebook,Classmate,Packed,Count,1pc,"Practical Notebook from Classmate, suitable for everyday paper use.",,,
S0037,Stationery,Paper,Practical Notebook,Navneet,Packed,Count,1pc,"Practical Notebook from Navneet, suitable for everyday paper use.",,,
S0038,Stationery,Paper,Drawing Book,Classmate,Packed,Count,1pc,"Drawing Book from Classmate, suitable for everyday paper use.",,,
S0039,Stationery,Paper,Drawing Book,Navneet,Packed,Count,1pc,"Drawing Book from Navneet, suitable for everyday paper use.",,,
S0040,Stationery,Paper,Drawing Book,Sundaram,Packed,Count,1pc,"Drawing Book from Sundaram, suitable for everyday paper use.",,,
S0041,Stationery,Paper,Register,Sundaram,Packed,Count,1pc,"Register from Sundaram, suitable for everyday paper use.",,,
S0042,Stationery,Paper,Register,Classmate,Packed,Count,1pc,"Register from Classmate, suitable for everyday paper use.",,,
S0043,Stationery,Paper,Register,Navneet,Packed,Count,1pc,"Register from Navneet, suitable for everyday paper use.",,,
S0044,Stationery,Paper,A4 Copier Paper,JK,Packed,Count,1pc,"A4 Copier Paper from JK, suitable for everyday paper use.",,,
S0045,Stationery,Paper,A4 Copier Paper,TNPL,Packed,Count,1pc,"A4 Copier Paper from TNPL, suitable for everyday paper use.",,,
S0046,Stationery,Paper,A4 Copier Paper,Bilt,Packed,Count,1pc,"A4 Copier Paper from Bilt, suitable for everyday paper use.",,,
S0047,Stationery,Files & Folders,Document File,Solo,Packed,Count,1pc,"Document File from Solo, suitable for everyday files & folders use.",,,
S0048,Stationery,Files & Folders,Document File,Saya,Packed,Count,1pc,"Document File from Saya, suitable for everyday files & folders use.",,,
S0049,Stationery,Files & Folders,File Folder,Solo,Packed,Count,1pc,"File Folder from Solo, suitable for everyday files & folders use.",,,
S0050,Stationery,Files & Folders,Display File,Solo,Packed,Count,1pc,"Display File from Solo, suitable for everyday files & folders use.",,,
S0051,Stationery,Files & Folders,Ring Binder,Solo,Packed,Count,1pc,"Ring Binder from Solo, suitable for everyday files & folders use.",,,
S0052,Stationery,Files & Folders,Ring Binder,Kangaro,Packed,Count,1pc,"Ring Binder from Kangaro, suitable for everyday files & folders use.",,,
S0053,Stationery,Desk Supplies,Stapler,Kangaro,Packed,Count,1pc,"Stapler from Kangaro, suitable for everyday desk supplies use.",,,
S0054,Stationery,Desk Supplies,Stapler Pin,Kangaro,Packed,Count,1pc,"Stapler Pin from Kangaro, suitable for everyday desk supplies use.",,,
S0055,Stationery,Desk Supplies,Paper Clip,Kangaro,Packed,Count,1pc,"Paper Clip from Kangaro, suitable for everyday desk supplies use.",,,
S0056,Stationery,Files & Folders,Binder Clip,Kangaro,Packed,Count,1pc,"Binder Clip from Kangaro, suitable for everyday files & folders use.",,,
S0057,Stationery,Desk Supplies,Rubber Band,Local / Generic,Packed,Count,1pc,"Rubber Band from Local / Generic, suitable for everyday desk supplies use.",,,
S0058,Stationery,Desk Supplies,Glue Stick,Fevicol,Packed,Count,1pc,"Glue Stick from Fevicol, suitable for everyday desk supplies use.",,,
S0059,Stationery,Desk Supplies,White Glue,Fevicol,Packed,Count,1pc,"White Glue from Fevicol, suitable for everyday desk supplies use.",,,
S0060,Stationery,Desk Supplies,Correction Pen,Faber-Castell,Packed,Count,1pc,"Correction Pen from Faber-Castell, suitable for everyday desk supplies use.",,,
S0061,Stationery,Desk Supplies,Correction Tape,Kores,Packed,Count,1pc,"Correction Tape from Kores, suitable for everyday desk supplies use.",,,
S0062,Stationery,Desk Supplies,Scissors,Kangaro,Packed,Count,1pc,"Scissors from Kangaro, suitable for everyday desk supplies use.",,,
S0063,Stationery,Desk Supplies,Paper Cutter,Kangaro,Packed,Count,1pc,"Paper Cutter from Kangaro, suitable for everyday desk supplies use.",,,
S0064,Stationery,Geometry,Geometry Box,Classmate,Packed,Count,1pc,"Geometry Box from Classmate, suitable for everyday geometry use.",,,
S0065,Stationery,Geometry,Geometry Box,Camlin,Packed,Count,1pc,"Geometry Box from Camlin, suitable for everyday geometry use.",,,
S0066,Stationery,Geometry,Ruler,Camlin,Packed,Count,1pc,"Ruler from Camlin, suitable for everyday geometry use.",,,
S0067,Stationery,Geometry,Ruler,Faber-Castell,Packed,Count,1pc,"Ruler from Faber-Castell, suitable for everyday geometry use.",,,
S0068,Stationery,Geometry,Compass,Camlin,Packed,Count,1pc,"Compass from Camlin, suitable for everyday geometry use.",,,
S0069,Stationery,Geometry,Protractor,Camlin,Packed,Count,1pc,"Protractor from Camlin, suitable for everyday geometry use.",,,
S0070,Stationery,Geometry,Set Square,Camlin,Packed,Count,1pc,"Set Square from Camlin, suitable for everyday geometry use.",,,
S0071,Stationery,Art & Craft,Wax Crayons,Camlin,Packed,Count,1pc,"Wax Crayons from Camlin, suitable for everyday art & craft use.",,,
S0072,Stationery,Art & Craft,Wax Crayons,DOMS,Packed,Count,1pc,"Wax Crayons from DOMS, suitable for everyday art & craft use.",,,
S0073,Stationery,Art & Craft,Colour Pencils,Faber-Castell,Packed,Count,1pc,"Colour Pencils from Faber-Castell, suitable for everyday art & craft use.",,,
S0074,Stationery,Art & Craft,Colour Pencils,DOMS,Packed,Count,1pc,"Colour Pencils from DOMS, suitable for everyday art & craft use.",,,
S0075,Stationery,Art & Craft,Sketch Pens,Camlin,Packed,Count,1pc,"Sketch Pens from Camlin, suitable for everyday art & craft use.",,,
S0076,Stationery,Art & Craft,Sketch Pens,DOMS,Packed,Count,1pc,"Sketch Pens from DOMS, suitable for everyday art & craft use.",,,
S0077,Stationery,Art & Craft,Poster Colours,Camlin,Packed,Count,1pc,"Poster Colours from Camlin, suitable for everyday art & craft use.",,,
S0078,Stationery,Art & Craft,Water Colours,Camel,Packed,Count,1pc,"Water Colours from Camel, suitable for everyday art & craft use.",,,
S0079,Stationery,Art & Craft,Acrylic Paint,Camel,Packed,Count,1pc,"Acrylic Paint from Camel, suitable for everyday art & craft use.",,,
S0080,Stationery,Art & Craft,Drawing Pencil Set,Faber-Castell,Packed,Count,1pc,"Drawing Pencil Set from Faber-Castell, suitable for everyday art & craft use.",,,
S0081,Stationery,Art & Craft,Paint Brush Set,Camel,Packed,Count,1pc,"Paint Brush Set from Camel, suitable for everyday art & craft use.",,,
S0082,Stationery,Art & Craft,Craft Paper,Local / Generic,Packed,Count,1pc,"Craft Paper from Local / Generic, suitable for everyday art & craft use.",,,
S0083,Stationery,School Supplies,Pencil Box,Classmate,Packed,Count,1pc,"Pencil Box from Classmate, suitable for everyday school supplies use.",,,
S0084,Stationery,School Supplies,Pencil Box,DOMS,Packed,Count,1pc,"Pencil Box from DOMS, suitable for everyday school supplies use.",,,
S0085,Stationery,School Supplies,School Kit,Classmate,Packed,Count,1pc,"School Kit from Classmate, suitable for everyday school supplies use.",,,
S0086,Stationery,School Supplies,School Kit,Navneet,Packed,Count,1pc,"School Kit from Navneet, suitable for everyday school supplies use.",,,
S0087,Stationery,School Supplies,Book Cover,Local / Generic,Packed,Count,1pc,"Book Cover from Local / Generic, suitable for everyday school supplies use.",,,
S0088,Stationery,School Supplies,Label Sticker,Local / Generic,Packed,Count,1pc,"Label Sticker from Local / Generic, suitable for everyday school supplies use.",,,
S0089,Stationery,School Supplies,Name Slip,Local / Generic,Packed,Count,1pc,"Name Slip from Local / Generic, suitable for everyday school supplies use.",,,
S0090,Stationery,School Supplies,Calculator,Casio,Packed,Count,1pc,"Calculator from Casio, suitable for everyday school supplies use.",,,
S0091,Stationery,School Supplies,Calculator,Flair,Packed,Count,1pc,"Calculator from Flair, suitable for everyday school supplies use.",,,
S0092,Stationery,Desk Supplies,Desk Organizer,Deli,Packed,Count,1pc,"Desk Organizer from Deli, suitable for everyday desk supplies use.",,,
S0093,Stationery,Desk Supplies,Pen Stand,Deli,Packed,Count,1pc,"Pen Stand from Deli, suitable for everyday desk supplies use.",,,
S0094,Stationery,Desk Supplies,Sticky Notes,Deli,Packed,Count,1pc,"Sticky Notes from Deli, suitable for everyday desk supplies use.",,,
