Product Name,Category,Code,Malayalam Name,Variants,Selling Price,Original Price (MRP),Image URL
"Elite Dates Pudding Cake Sliced","Bakery","ANG-BAK-0263","എലൈറ്റ് ഡേറ്റ്സ് പുഡ്ഡിംഗ് കേക്ക് Sliced","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_dates-pudding-cake-150g.png"
"Elite Jack fruit Pudding Cake Sliced","Bakery","ANG-BAK-0264","എലൈറ്റ് Jack fruit Pudding കേക്ക് Sliced","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_jackfruit-pudding-cake-150g.png"
"Elite Carrot Pudding Cake Sliced","Bakery","ANG-BAK-0265","എലൈറ്റ് കാരറ്റ് പുഡ്ഡിംഗ് കേക്ക് Sliced","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot-pudding-cake-150g2.png"
"Elite Centoz Sweet Heart Strawberry","Bakery","ANG-BAK-0266","എലൈറ്റ് Centoz Sweet Heart Strawberry","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_heart_20cake_2054g.png"
"Elite Choco Cupcake","Bakery","ANG-BAK-0267","എലൈറ്റ് Choco കപ്പ് കേക്ക്","60 g","₹20","₹20","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco-cup-cake-18g.png"
"Elite Butter Cup Cake","Bakery","ANG-BAK-0268","എലൈറ്റ് Butter കപ്പ് കേക്ക്","60 g","₹20","₹20","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_butter-cup-cake-18g.png"
"Elite Strawberry Cup Cake","Bakery","ANG-BAK-0269","എലൈറ്റ് Strawberry കപ്പ് കേക്ക്","60 g","₹20","₹20","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_strawberry-6-1.png"
"Elite Choco Cup Cake 6 in 1","Bakery","ANG-BAK-0270","എലൈറ്റ് Choco കപ്പ് കേക്ക് 6 in 1","60 g","₹20","₹20","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco-6-1.png"
"Elite Butter Cup Cake 6 in 1","Bakery","ANG-BAK-0271","എലൈറ്റ് Butter കപ്പ് കേക്ക് 6 in 1","60 g","₹20","₹20","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_butter-6-1.png"
"Elite Carrot Pudding 6 in 1","Bakery","ANG-BAK-0272","എലൈറ്റ് Carrot Pudding 6 in 1","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot-6-1.png"
"Elite Centoz Choco","Bakery","ANG-BAK-0273","എലൈറ്റ് Centoz Choco","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_centoz-choco-cup-cake-1.png"
"Elite Centoz Strawberry","Bakery","ANG-BAK-0274","എലൈറ്റ് Centoz Strawberry","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_centoz-strawberry-cup-cake-1.png"
"Elite Plum Surprise","Bakery","ANG-BAK-0275","എലൈറ്റ് Plum Surprise","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20surprise_20680g_20-_208906009990125_20-_20front.png"
"Elite Choco Plum","Bakery","ANG-BAK-0276","എലൈറ്റ് Choco Plum","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20plum_20680g_20-_208906009990101_20-_20front.png"
"Elite Rich Plum","Bakery","ANG-BAK-0277","എലൈറ്റ് Rich Plum","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_rich_20plum_20cake_20300g_20-_208906009991160_20-_20front.png"
"Elite Plum Classic","Bakery","ANG-BAK-0278","എലൈറ്റ് Plum Classic","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20classic_20680g_20-_208906009992921_20-_20front.png"
"Elite Plum Delight","Bakery","ANG-BAK-0279","എലൈറ്റ് Plum Delight","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20delight_20cake_20650g-new.png"
"Elite Rich Plum Cake","Bakery","ANG-BAK-0280","എലൈറ്റ് Rich പ്ലം കേക്ക്","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_rich_20plum_20-_20tin-new.png"
"Elite LA Elite Plum Cake","Bakery","ANG-BAK-0281","എലൈറ്റ് LA എലൈറ്റ് പ്ലം കേക്ക്","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_la_20elite_20tin-new.png"
"Elite Butterscotch Pudding Cake","Bakery","ANG-BAK-0282","എലൈറ്റ് Butterscotch Pudding കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_butterscotch-pudding-cake.png"
"Elite Carrot Pudding Cake","Bakery","ANG-BAK-0283","എലൈറ്റ് കാരറ്റ് പുഡ്ഡിംഗ് കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot_20pudding_20cake_20500g_20-_208906009992679_20-_20front.png"
"Elite Dates Pudding Cake","Bakery","ANG-BAK-0284","എലൈറ്റ് ഡേറ്റ്സ് പുഡ്ഡിംഗ് കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_dates_20pudding_20cake_20500g_20-_208906009992518_20-_20front.png"
"Elite Jackfruit Pudding Cake","Bakery","ANG-BAK-0285","എലൈറ്റ് Jackfruit Pudding കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_jackfruit_20pudding_20cake_20500g_20-_208906009992976_20-_20front.png"
"Elite Pineapple Pudding Cake","Bakery","ANG-BAK-0286","എലൈറ്റ് Pineapple Pudding കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_pineapple_20pudding_20cake_20500g_20-_208906009994031_20-_20front.png"
"Elite Banana Pudding Cake","Bakery","ANG-BAK-0287","എലൈറ്റ് ബനാന പുഡ്ഡിംഗ് കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_banana_20pudding_20cake_20500g_20-_208906009993379_20-_20front.png"
"Elite Jackfruit Pudding cake 700g","Bakery","ANG-BAK-0288","എലൈറ്റ് Jackfruit Pudding കേക്ക് 700g","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_jackfruit_20pudding_20cake_20-700g_20-_20front1.png"
"Elite Carrot pudding Sliced Cake 700g","Bakery","ANG-BAK-0289","എലൈറ്റ് Carrot pudding Sliced കേക്ക് 700g","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot_20pudding_20cake_20sliced_20-700g_20-_20front1.png"
"Elite Tea Cake","Bakery","ANG-BAK-0290","എലൈറ്റ് Tea കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_tea-cake-500g.png"
"Elite Pineapple Cake","Bakery","ANG-BAK-0291","എലൈറ്റ് Pineapple കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_pineapple-cake-350g.png"
"Elite Sponge Cake","Bakery","ANG-BAK-0292","എലൈറ്റ് Sponge കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_sponge-cake.png"
"Elite Choco Brownie Cake","Bakery","ANG-BAK-0293","എലൈറ്റ് Choco Brownie കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_brownie.png"
"Elite Fruit N Nut Brownie Cake","Bakery","ANG-BAK-0294","എലൈറ്റ് Fruit N Nut Brownie കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_fruit-n-nut-brownie-cake.png"
"Elite Plum Pudding Cake","Bakery","ANG-BAK-0295","എലൈറ്റ് Plum Pudding കേക്ക്","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20pudding_20slice_20cake.png"
"Elite Fruit Slice Cake","Bakery","ANG-BAK-0296","എലൈറ്റ് Fruit Slice കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_fruit_20slice_20cake.png"
"Elite Veg Choco Brownie Cake","Bakery","ANG-BAK-0297","എലൈറ്റ് Veg Choco Brownie കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20brownie_2040g.png"
"Elite Veg Milk Bar Cake","Bakery","ANG-BAK-0298","എലൈറ്റ് Veg Milk ബാർ കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20milk_20bar_20cake_20_1_.png"
"Elite Veg Orange Bar Cake","Bakery","ANG-BAK-0299","എലൈറ്റ് Veg ഓറഞ്ച് ബാർ കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20orange_20bar_20cake_20_1_.png"
"Elite Veg Banana Pudding","Bakery","ANG-BAK-0300","എലൈറ്റ് Veg Banana Pudding","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20banana_20pudding_20cake_20150g_20_1_.png"
"Elite Veg Dates Pudding","Bakery","ANG-BAK-0301","എലൈറ്റ് Veg Dates Pudding","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20dates_20pudding_20cake150g_20_1_.png"
"Elite VEG Jackfruit Pudding Cake","Bakery","ANG-BAK-0302","എലൈറ്റ് VEG Jackfruit Pudding കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20jackfruit_20pudding_20cake_20140g.png"
"Elite Veg carrot Pudding cake","Bakery","ANG-BAK-0303","എലൈറ്റ് Veg കാരറ്റ് പുഡ്ഡിംഗ് കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20carrot_20pudding_20cake_20140g.png"
"Elite Veg Plum Pudding","Bakery","ANG-BAK-0304","എലൈറ്റ് Veg Plum Pudding","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg-plum-pudding-oblong.png"
"Elite Veg Vanilla Oblong Cake","Bakery","ANG-BAK-0305","എലൈറ്റ് Veg Vanilla Oblong കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg-vanilla-oblong.png"
"Elite Veg Plum Cake","Bakery","ANG-BAK-0306","എലൈറ്റ് Veg പ്ലം കേക്ക്","330 g; 800 g","₹120; ₹260","₹120; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20plum_20700g_20-_208906009993928_20-_20front.png"
"Elite Veg Vanilla Cup Cake","Bakery","ANG-BAK-0307","എലൈറ്റ് Veg Vanilla കപ്പ് കേക്ക്","60 g","₹20","₹20","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20vanilla_20cup_20cake_20_1_.png"
"Elite Milk Rusk","Biscuits & Cookies","ANG-BIS-0023","എലൈറ്റ് മിൽക്ക് റസ്ക്","182 g; 300 g","₹40; ₹65","₹40; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/baking_rusk_milk-rusk-182g-new.png"
"Elite Classic Rusk","Biscuits & Cookies","ANG-BIS-0024","എലൈറ്റ് ക്ലാസിക് റസ്ക്","182 g; 300 g","₹40; ₹65","₹40; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/baking_rusk_classic_20rusk.png"
"Elite Elaichi Rusk","Biscuits & Cookies","ANG-BIS-0025","എലൈറ്റ് ഏലയ്ക്ക റസ്ക്","182 g; 300 g","₹40; ₹65","₹40; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/baking_rusk_elaichi-rusk-182g-new.png"
"Elite Pizza Rusk","Biscuits & Cookies","ANG-BIS-0026","എലൈറ്റ് പിസ്സ റസ്ക്","182 g; 300 g","₹40; ₹65","₹40; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/baking_rusk_pizzaaa-rusk-100g.png"
"Elite Cake Rusk","Biscuits & Cookies","ANG-BIS-0027","എലൈറ്റ് കേക്ക് റസ്ക്","182 g; 300 g","₹40; ₹65","₹40; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/baking_rusk_cake-rusk-300g.png"
"Elite Wheat Rusk","Biscuits & Cookies","ANG-BIS-0028","എലൈറ്റ് ഗോതമ്പ് റസ്ക്","182 g; 300 g","₹40; ₹65","₹40; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/baking_rusk_wheat_20rusk_20200g.png"
"Elite Jeera Rusk","Biscuits & Cookies","ANG-BIS-0029","എലൈറ്റ് ജീരക റസ്ക്","182 g; 300 g","₹40; ₹65","₹40; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/baking_rusk_jeera_20rusk_20182.png"
"Elite Family Wonder","Bakery","ANG-BAK-0308","എലൈറ്റ് ഫാമിലി വണ്ടർ ബ്രെഡ്","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_1.png"
"Elite Magic Sweet Bread","Bakery","ANG-BAK-0309","എലൈറ്റ് Magic Sweet ബ്രെഡ്","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_magic_20sweet_20bread_20400g.png"
"Elite Tasty Delight","Bakery","ANG-BAK-0310","എലൈറ്റ് Tasty Delight","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_tasty_20delight_20bread_20300g.png"
"Elite Tasty Treat","Bakery","ANG-BAK-0311","എലൈറ്റ് Tasty Treat","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_4.png"
"Elite White Bread","Bakery","ANG-BAK-0312","എലൈറ്റ് വൈറ്റ് ബ്രെഡ്","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_4.png"
"Elite Fruity Bread","Bakery","ANG-BAK-0313","എലൈറ്റ് Fruity ബ്രെഡ്","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_8.png"
"Elite Magic sweet Bun","Bakery","ANG-BAK-0314","എലൈറ്റ് Magic സ്വീറ്റ് ബൺ","150 g","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_magic_20sweet_20bun.png"
"Elite Vanilla Cream Bun Roll","Bakery","ANG-BAK-0315","എലൈറ്റ് Vanilla Cream ബൺ Roll","150 g","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_vanilla_20bun_20roll_20pack.png"
"Elite Butterscotch Bunroll","Bakery","ANG-BAK-0316","എലൈറ്റ് Butterscotch Bunroll","150 g","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_butter_20scotch_20bun_20roll.png"
"Elite Strawberry Bunroll","Bakery","ANG-BAK-0317","എലൈറ്റ് Strawberry Bunroll","150 g","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_strawberry.png"
"Elite Half Cooked Chapathi","Bakery","ANG-BAK-0318","എലൈറ്റ് Half Cooked Chapathi","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_half_cooked_chapati_new.png"
"Elite Half Cooked Poori","Bakery","ANG-BAK-0319","എലൈറ്റ് Half Cooked Poori","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_half-cooked-poori.png"
"Elite HALF COOKED PAROTTA","Bakery","ANG-BAK-0320","എലൈറ്റ് HALF COOKED PAROTTA","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_hc_20parotta.png"
"Elite HALF COOKED WHEAT PAROTTA","Bakery","ANG-BAK-0321","എലൈറ്റ് HALF COOKED WHEAT PAROTTA","400 g","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_wheat_20hc_20parotta_20_1_.png"
"Elite Rich Butter","Biscuits & Cookies","ANG-BIS-0030","എലൈറ്റ് റിച്ച് ബട്ടർ കുക്കീസ്","75 g; 150 g","₹35; ₹65","₹35; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/snacks_rich-butter-cookies-duplex-75g.png"
"Elite Cashew Almond","Biscuits & Cookies","ANG-BIS-0031","എലൈറ്റ് കശുവണ്ടി ബദാം കുക്കീസ്","75 g; 150 g","₹35; ₹65","₹35; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/snacks_cashew-almond-cookies-duplex-75g.png"
"Elite Choco Chips","Biscuits & Cookies","ANG-BIS-0032","എലൈറ്റ് ചോക്കോ ചിപ്സ് കുക്കീസ്","75 g; 150 g","₹35; ₹65","₹35; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/snacks_chocochips-cookies-duplex-75g.png"
"Elite Jowar Orange Flavoured Fills","Biscuits & Cookies","ANG-BIS-0033","എലൈറ്റ് Jowar Orange Flavoured ഫിൽസ്","75 g; 150 g","₹35; ₹65","₹35; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/snacks_orange.png"
"Elite Jowar Strawberry Flavoured Fills","Biscuits & Cookies","ANG-BIS-0034","എലൈറ്റ് Jowar Strawberry Flavoured ഫിൽസ്","75 g; 150 g","₹35; ₹65","₹35; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/snacks_strawberry.png"
"Elite Raggi Choco Fills","Biscuits & Cookies","ANG-BIS-0035","എലൈറ്റ് Raggi Choco ഫിൽസ്","75 g; 150 g","₹35; ₹65","₹35; ₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/snacks_choco.png"
"Elite Chakki Atta","Rice, Atta, Flours & Mixes","ANG-RIC-1278","എലൈറ്റ് ചക്കി ആട്ട","1 kg; 5 kg","₹60; ₹280","₹60; ₹280","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/wheat_range_chakki_20atta_201kg_20new.png"
"Elite Multigrain Atta","Rice, Atta, Flours & Mixes","ANG-RIC-1279","എലൈറ്റ് Multigrain ആട്ട","1 kg; 5 kg","₹60; ₹280","₹60; ₹280","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/wheat_range_multigrain-atta-1kg.png"
"Elite Maida","Rice, Atta, Flours & Mixes","ANG-RIC-1280","എലൈറ്റ് മൈദ","500 g; 1 kg","₹38; ₹70","₹38; ₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/wheat_range_maida-1kg.png"
"Elite Rava","Rice, Atta, Flours & Mixes","ANG-RIC-1281","എലൈറ്റ് റവ","500 g; 1 kg","₹38; ₹70","₹38; ₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/wheat_range_rava_1kg.png"
"Elite Roasted Rava","Rice, Atta, Flours & Mixes","ANG-RIC-1282","എലൈറ്റ് Roasted റവ","500 g; 1 kg","₹38; ₹70","₹38; ₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/wheat_range_roasted_rava__sooji__1kg.png"
"Elite Double Roasted Rava","Rice, Atta, Flours & Mixes","ANG-RIC-1283","എലൈറ്റ് Double Roasted റവ","500 g; 1 kg","₹38; ₹70","₹38; ₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/wheat_range_double_20roasted_20rava_201kg.png"
