S.No.,Product Code,Product Name,Malayalam Name,Category,Base Unit,Sell Mode,Base Unit Price (INR),Max Price Ceiling (INR),Default Variant,All Variants (Pack - Price),Image CDN URL
33,ANG-BAK-0258,Elite Pineapple Fruity Cake,എലൈറ്റ് പൈനാപ്പിൾ ഫ്രൂട്ടി കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_pineapple-fruity-barcake.png
34,ANG-BAK-0259,Elite Orange Chocolate,എലൈറ്റ് Orange Chocolate,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20orange_20barcake_20140g_20-_208906009990675_20-_20front.png
35,ANG-BAK-0260,Elite Pineapple Chocolate,എലൈറ്റ് Pineapple Chocolate,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20pineapple_20barcake_20140g_20-_208906009990668_20-_20front.png
36,ANG-BAK-0261,Elite Black Raisin,എലൈറ്റ് Black Raisin,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_black-raisin-cake.png
37,ANG-BAK-0262,Elite Banana Pudding Cake Sliced,എലൈറ്റ് ബനാന പുഡ്ഡിംഗ് കേക്ക് Sliced,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_banana-pudding-cake-150g.png
38,ANG-BAK-0263,Elite Dates Pudding Cake Sliced,എലൈറ്റ് ഡേറ്റ്സ് പുഡ്ഡിംഗ് കേക്ക് Sliced,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_dates-pudding-cake-150g.png
39,ANG-BAK-0264,Elite Jack fruit Pudding Cake Sliced,എലൈറ്റ് Jack fruit Pudding കേക്ക് Sliced,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_jackfruit-pudding-cake-150g.png
40,ANG-BAK-0265,Elite Carrot Pudding Cake Sliced,എലൈറ്റ് കാരറ്റ് പുഡ്ഡിംഗ് കേക്ക് Sliced,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot-pudding-cake-150g2.png
41,ANG-BAK-0266,Elite Centoz Sweet Heart Strawberry,എലൈറ്റ് Centoz Sweet Heart Strawberry,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_heart_20cake_2054g.png
42,ANG-BAK-0267,Elite Choco Cupcake,എലൈറ്റ് Choco കപ്പ് കേക്ക്,Bakery,g,Fixed,20.00,23.00,60 g (₹20),60 g: ₹20,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco-cup-cake-18g.png
43,ANG-BAK-0268,Elite Butter Cup Cake,എലൈറ്റ് Butter കപ്പ് കേക്ക്,Bakery,g,Fixed,20.00,23.00,60 g (₹20),60 g: ₹20,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_butter-cup-cake-18g.png
44,ANG-BAK-0269,Elite Strawberry Cup Cake,എലൈറ്റ് Strawberry കപ്പ് കേക്ക്,Bakery,g,Fixed,20.00,23.00,60 g (₹20),60 g: ₹20,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_strawberry-6-1.png
45,ANG-BAK-0270,Elite Choco Cup Cake 6 in 1,എലൈറ്റ് Choco കപ്പ് കേക്ക് 6 in 1,Bakery,g,Fixed,20.00,23.00,60 g (₹20),60 g: ₹20,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco-6-1.png
46,ANG-BAK-0271,Elite Butter Cup Cake 6 in 1,എലൈറ്റ് Butter കപ്പ് കേക്ക് 6 in 1,Bakery,g,Fixed,20.00,23.00,60 g (₹20),60 g: ₹20,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_butter-6-1.png
47,ANG-BAK-0272,Elite Carrot Pudding 6 in 1,എലൈറ്റ് Carrot Pudding 6 in 1,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot-6-1.png
48,ANG-BAK-0273,Elite Centoz Choco,എലൈറ്റ് Centoz Choco,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_centoz-choco-cup-cake-1.png
49,ANG-BAK-0274,Elite Centoz Strawberry,എലൈറ്റ് Centoz Strawberry,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_centoz-strawberry-cup-cake-1.png
50,ANG-BAK-0275,Elite Plum Surprise,എലൈറ്റ് Plum Surprise,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20surprise_20680g_20-_208906009990125_20-_20front.png
51,ANG-BAK-0276,Elite Choco Plum,എലൈറ്റ് Choco Plum,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20plum_20680g_20-_208906009990101_20-_20front.png
52,ANG-BAK-0277,Elite Rich Plum,എലൈറ്റ് Rich Plum,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_rich_20plum_20cake_20300g_20-_208906009991160_20-_20front.png
53,ANG-BAK-0278,Elite Plum Classic,എലൈറ്റ് Plum Classic,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20classic_20680g_20-_208906009992921_20-_20front.png
54,ANG-BAK-0279,Elite Plum Delight,എലൈറ്റ് Plum Delight,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20delight_20cake_20650g-new.png
55,ANG-BAK-0280,Elite Rich Plum Cake,എലൈറ്റ് Rich പ്ലം കേക്ക്,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_rich_20plum_20-_20tin-new.png
56,ANG-BAK-0281,Elite LA Elite Plum Cake,എലൈറ്റ് LA എലൈറ്റ് പ്ലം കേക്ക്,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_la_20elite_20tin-new.png
57,ANG-BAK-0282,Elite Butterscotch Pudding Cake,എലൈറ്റ് Butterscotch Pudding കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_butterscotch-pudding-cake.png
58,ANG-BAK-0283,Elite Carrot Pudding Cake,എലൈറ്റ് കാരറ്റ് പുഡ്ഡിംഗ് കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot_20pudding_20cake_20500g_20-_208906009992679_20-_20front.png
59,ANG-BAK-0284,Elite Dates Pudding Cake,എലൈറ്റ് ഡേറ്റ്സ് പുഡ്ഡിംഗ് കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_dates_20pudding_20cake_20500g_20-_208906009992518_20-_20front.png
60,ANG-BAK-0285,Elite Jackfruit Pudding Cake,എലൈറ്റ് Jackfruit Pudding കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_jackfruit_20pudding_20cake_20500g_20-_208906009992976_20-_20front.png
61,ANG-BAK-0286,Elite Pineapple Pudding Cake,എലൈറ്റ് Pineapple Pudding കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_pineapple_20pudding_20cake_20500g_20-_208906009994031_20-_20front.png
62,ANG-BAK-0287,Elite Banana Pudding Cake,എലൈറ്റ് ബനാന പുഡ്ഡിംഗ് കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_banana_20pudding_20cake_20500g_20-_208906009993379_20-_20front.png
63,ANG-BAK-0288,Elite Jackfruit Pudding cake 700g,എലൈറ്റ് Jackfruit Pudding കേക്ക് 700g,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_jackfruit_20pudding_20cake_20-700g_20-_20front1.png
64,ANG-BAK-0289,Elite Carrot pudding Sliced Cake 700g,എലൈറ്റ് Carrot pudding Sliced കേക്ക് 700g,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_carrot_20pudding_20cake_20sliced_20-700g_20-_20front1.png
65,ANG-BAK-0290,Elite Tea Cake,എലൈറ്റ് Tea കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_tea-cake-500g.png
66,ANG-BAK-0291,Elite Pineapple Cake,എലൈറ്റ് Pineapple കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_pineapple-cake-350g.png
67,ANG-BAK-0292,Elite Sponge Cake,എലൈറ്റ് Sponge കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_sponge-cake.png
68,ANG-BAK-0293,Elite Choco Brownie Cake,എലൈറ്റ് Choco Brownie കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_brownie.png
69,ANG-BAK-0294,Elite Fruit N Nut Brownie Cake,എലൈറ്റ് Fruit N Nut Brownie കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_fruit-n-nut-brownie-cake.png
70,ANG-BAK-0295,Elite Plum Pudding Cake,എലൈറ്റ് Plum Pudding കേക്ക്,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_plum_20pudding_20slice_20cake.png
71,ANG-BAK-0296,Elite Fruit Slice Cake,എലൈറ്റ് Fruit Slice കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_fruit_20slice_20cake.png
72,ANG-BAK-0297,Elite Veg Choco Brownie Cake,എലൈറ്റ് Veg Choco Brownie കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20brownie_2040g.png
73,ANG-BAK-0298,Elite Veg Milk Bar Cake,എലൈറ്റ് Veg Milk ബാർ കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20milk_20bar_20cake_20_1_.png
74,ANG-BAK-0299,Elite Veg Orange Bar Cake,എലൈറ്റ് Veg ഓറഞ്ച് ബാർ കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20orange_20bar_20cake_20_1_.png
75,ANG-BAK-0300,Elite Veg Banana Pudding,എലൈറ്റ് Veg Banana Pudding,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20banana_20pudding_20cake_20150g_20_1_.png
76,ANG-BAK-0301,Elite Veg Dates Pudding,എലൈറ്റ് Veg Dates Pudding,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20dates_20pudding_20cake150g_20_1_.png
77,ANG-BAK-0302,Elite VEG Jackfruit Pudding Cake,എലൈറ്റ് VEG Jackfruit Pudding കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20jackfruit_20pudding_20cake_20140g.png
78,ANG-BAK-0303,Elite Veg carrot Pudding cake,എലൈറ്റ് Veg കാരറ്റ് പുഡ്ഡിംഗ് കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20carrot_20pudding_20cake_20140g.png
79,ANG-BAK-0304,Elite Veg Plum Pudding,എലൈറ്റ് Veg Plum Pudding,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg-plum-pudding-oblong.png
80,ANG-BAK-0305,Elite Veg Vanilla Oblong Cake,എലൈറ്റ് Veg Vanilla Oblong കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg-vanilla-oblong.png
81,ANG-BAK-0306,Elite Veg Plum Cake,എലൈറ്റ് Veg പ്ലം കേക്ക്,Bakery,g,Fixed,120.00,138.00,330 g (₹120),330 g: ₹120 | 800 g: ₹260,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20plum_20700g_20-_208906009993928_20-_20front.png
82,ANG-BAK-0307,Elite Veg Vanilla Cup Cake,എലൈറ്റ് Veg Vanilla കപ്പ് കേക്ക്,Bakery,g,Fixed,20.00,23.00,60 g (₹20),60 g: ₹20,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_veg_20vanilla_20cup_20cake_20_1_.png
83,ANG-BAK-0308,Elite Family Wonder,എലൈറ്റ് ഫാമിലി വണ്ടർ ബ്രെഡ്,Bakery,g,Fixed,45.00,52.00,400 g (₹45),400 g: ₹45,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_1.png
84,ANG-BAK-0309,Elite Magic Sweet Bread,എലൈറ്റ് Magic Sweet ബ്രെഡ്,Bakery,g,Fixed,45.00,52.00,400 g (₹45),400 g: ₹45,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/bread___bun_magic_20sweet_20bread_20400g.png
