S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
14,Spices & Masalas,"Eastern Biriyani Masala","Eastern Biriyani Masala for authentic Kerala cuisine and household cooking.","100 g",₹109,₹70,https://instamart-media.swiggy.com/eastern-biriyani-100g.jpg
15,Spices & Masalas,"Eastern Black Pepper Powder","Eastern Black Pepper Powder for authentic Kerala cuisine and household cooking.","100 g",₹156,₹110,https://instamart-media.swiggy.com/eastern-pepper-100g.jpg
16,Spices & Masalas,"Eastern Chana Masala","Eastern Chana Masala for authentic Kerala cuisine and household cooking.","100 g",₹79,₹55,https://instamart-media.swiggy.com/eastern-chana-masala-100g.jpg
17,Spices & Masalas,"Eastern Chicken Kebab Masala","Eastern Chicken Kebab Masala for authentic Kerala cuisine and household cooking.","100 g",₹69,₹53,https://instamart-media.swiggy.com/eastern-chicken-kebab-100g.jpg
18,Spices & Masalas,"Eastern Chicken Masala","Eastern Chicken Masala for authentic Kerala cuisine and household cooking.","100 g",₹80,₹46,https://instamart-media.swiggy.com/eastern-chicken-100g.jpg
19,Spices & Masalas,"Eastern Chicken Sukka Masala","Eastern Chicken Sukka Masala for authentic Kerala cuisine and household cooking.","80 g",₹60,₹44,https://instamart-media.swiggy.com/eastern-chicken-sukka-80g.jpg
20,Spices & Masalas,"Eastern Chilli Powder","Eastern Chilli Powder for authentic Kerala cuisine and household cooking.","100 g / 250 g",₹58,₹34,https://instamart-media.swiggy.com/eastern-chilli-100g.jpg
21,Spices & Masalas,"Eastern Chilly Chicken Masala","Eastern Chilly Chicken Masala for authentic Kerala cuisine and household cooking.","100 g",₹88,₹65,https://instamart-media.swiggy.com/eastern-chilly-chicken-100g.jpg
22,Spices & Masalas,"Eastern Coriander Powder","Eastern Coriander Powder for authentic Kerala cuisine and household cooking.","250 g / 500 g",₹178,₹108,https://instamart-media.swiggy.com/eastern-coriander-250g.jpg
23,Spices & Masalas,"Eastern Cumin / Jeera Powder","Eastern Cumin / Jeera Powder for authentic Kerala cuisine and household cooking.","100 g",₹98,₹64,https://instamart-media.swiggy.com/eastern-cumin-100g.jpg
24,Spices & Masalas,"Eastern Egg Curry Masala","Eastern Egg Curry Masala for authentic Kerala cuisine and household cooking.","100 g",₹64,₹45,https://instamart-media.swiggy.com/eastern-egg-masala-100g.jpg
25,Spices & Masalas,"Eastern Fish Fry Masala","Eastern Fish Fry Masala for authentic Kerala cuisine and household cooking.","100 g",₹81,₹58,https://instamart-media.swiggy.com/eastern-fish-fry-100g.jpg
26,Spices & Masalas,"Eastern Fish Masala","Eastern Fish Masala for authentic Kerala cuisine and household cooking.","100 g",₹83,₹63,https://instamart-media.swiggy.com/eastern-fish-100g.jpg
27,Spices & Masalas,"Eastern Garam Masala Powder","Eastern Garam Masala Powder for authentic Kerala cuisine and household cooking.","100 g",₹136,₹77,https://instamart-media.swiggy.com/eastern-garam-masala-100g.jpg
28,Spices & Masalas,"Eastern Kashmiri Chilly Powder","Eastern Kashmiri Chilly Powder for authentic Kerala cuisine and household cooking.","100 g / 250 g",₹138,₹77,https://instamart-media.swiggy.com/eastern-kashmiri-chilly-100g.jpg
29,Spices & Masalas,"Eastern Meat Masala","Eastern Meat Masala for authentic Kerala cuisine and household cooking.","100 g",₹80,₹58,https://instamart-media.swiggy.com/eastern-meat-100g.jpg
30,Spices & Masalas,"Eastern Pav Bhaji Masala","Eastern Pav Bhaji Masala for authentic Kerala cuisine and household cooking.","100 g",₹87,₹62,https://instamart-media.swiggy.com/eastern-pav-bhaji-100g.jpg
31,Spices & Masalas,"Eastern Pickle Masala","Eastern Pickle Masala for authentic Kerala cuisine and household cooking.","100 g",₹79,₹58,https://cdn.grofers.com/app/images/products/full_s/85733.jpg
32,Spices & Masalas,"Eastern Rasam Powder","Eastern Rasam Powder for authentic Kerala cuisine and household cooking.","100 g",₹75,₹52,https://instamart-media.swiggy.com/eastern-rasam-100g.jpg
33,Spices & Masalas,"Eastern Sambar Powder","Eastern Sambar Powder for authentic Kerala cuisine and household cooking.","100 g",₹89,₹58,https://instamart-media.swiggy.com/eastern-sambar-100g.jpg
34,Spices & Masalas,"Eastern Turmeric Powder","Eastern Turmeric Powder for authentic Kerala cuisine and household cooking.","100 g / 250 g",₹58,₹35,https://instamart-media.swiggy.com/eastern-turmeric-100g.jpg
35,Spices & Masalas,"Elanadu Spicy Paneer Pickle Jar","Elanadu Spicy Paneer Pickle Jar for authentic Kerala cuisine and household cooking.","200 g",₹138,₹120,https://elanadumilk.com/images/products/paneer-pickle-200g.png
36,Spices & Masalas,"Milma By Pro High Protein Cattle Feed","Milma By Pro High Protein Cattle Feed for authentic Kerala cuisine and household cooking.","50 kg",₹1702,₹1480,https://elanadumilk.com/images/products/cattle-feed-bypro-50kg.png
37,Spices & Masalas,"Milma Rich Cattle Feed Pellets","Milma Rich Cattle Feed Pellets for authentic Kerala cuisine and household cooking.","50 kg",₹1553,₹1350,https://elanadumilk.com/images/products/cattle-feed-rich-50kg.png
38,Spices & Masalas,"Milmamin Mineral Mixture Supplement","Milmamin Mineral Mixture Supplement for authentic Kerala cuisine and household cooking.","1 kg",₹127,₹110,https://elanadumilk.com/images/products/milmamin-1kg.png
39,Spices & Masalas,"Supernova Beef Pickle","Supernova Beef Pickle for authentic Kerala cuisine and household cooking.","200 g",₹242,₹200,https://supernovafoods.in/wp-content/uploads/beef-pickle-200g.jpg
40,Spices & Masalas,"Supernova Biriyani Masala","Supernova Biriyani Masala for authentic Kerala cuisine and household cooking.","100 g",₹86,₹72,https://supernovafoods.in/wp-content/uploads/biriyani-masala-100g.jpg
41,Spices & Masalas,"Supernova Bitter Gourd Pickle","Supernova Bitter Gourd Pickle for authentic Kerala cuisine and household cooking.","400 g",₹138,₹115,https://supernovafoods.in/wp-content/uploads/bitter-gourd-pickle-400g.jpg
42,Spices & Masalas,"Supernova Black Pepper Powder","Supernova Black Pepper Powder for authentic Kerala cuisine and household cooking.","100 g",₹159,₹130,https://supernovafoods.in/wp-content/uploads/black-pepper-100g.jpg
43,Spices & Masalas,"Supernova Broast Powder","Supernova Broast Powder for authentic Kerala cuisine and household cooking.","100 g",₹57,₹48,https://supernovafoods.in/wp-content/uploads/broast-powder-100g.jpg
44,Spices & Masalas,"Supernova Chaat Masala","Supernova Chaat Masala for authentic Kerala cuisine and household cooking.","100 g",₹73,₹60,https://supernovafoods.in/wp-content/uploads/chaat-masala-100g.jpg
45,Spices & Masalas,"Supernova Chana Masala","Supernova Chana Masala for authentic Kerala cuisine and household cooking.","100 g",₹67,₹55,https://supernovafoods.in/wp-content/uploads/chana-masala-100g.jpg
46,Spices & Masalas,"Supernova Chicken Fry Masala","Supernova Chicken Fry Masala for authentic Kerala cuisine and household cooking.","100 g",₹78,₹66,https://supernovafoods.in/wp-content/uploads/chicken-fry-masala-100g.jpg
47,Spices & Masalas,"Supernova Chicken Masala","Supernova Chicken Masala for authentic Kerala cuisine and household cooking.","100 g",₹75,₹64,https://supernovafoods.in/wp-content/uploads/chicken-masala-100g.jpg
48,Spices & Masalas,"Supernova Chilly Powder","Supernova Chilly Powder for authentic Kerala cuisine and household cooking.","100 g / 250 g / 500 g / 1 kg",₹49,₹41,https://supernovafoods.in/wp-content/uploads/chilly-powder-100g.jpg
49,Spices & Masalas,"Supernova Compounded Asafoetida","Supernova Compounded Asafoetida for authentic Kerala cuisine and household cooking.","50 g",₹88,₹76,https://supernovafoods.in/wp-content/uploads/asafoetida-50g.jpg
50,Spices & Masalas,"Supernova Compounded Asafoetida Powder","Supernova Compounded Asafoetida Powder for authentic Kerala cuisine and household cooking.","50 g",₹93,₹80.5,https://supernovafoods.in/wp-content/uploads/asafoetida-powder-50g.jpg
51,Spices & Masalas,"Supernova Coriander Powder","Supernova Coriander Powder for authentic Kerala cuisine and household cooking.","100 g / 250 g / 500 g / 1 kg",₹42,₹36.5,https://supernovafoods.in/wp-content/uploads/coriander-powder-100g.jpg
52,Spices & Masalas,"Supernova Cumin Powder","Supernova Cumin Powder for authentic Kerala cuisine and household cooking.","100 g",₹95,₹80,https://supernovafoods.in/wp-content/uploads/cumin-powder-100g.jpg
53,Spices & Masalas,"Supernova Cumin Seeds (Jeera)","Supernova Cumin Seeds (Jeera) for authentic Kerala cuisine and household cooking.","100 g",₹98,₹80,https://supernovafoods.in/wp-content/uploads/cumin-seeds-100g.jpg
54,Spices & Masalas,"Supernova Dates Pickle","Supernova Dates Pickle for authentic Kerala cuisine and household cooking.","400 g",₹156,₹128,https://supernovafoods.in/wp-content/uploads/dates-pickle-400g.jpg
55,Spices & Masalas,"Supernova Egg Curry Masala","Supernova Egg Curry Masala for authentic Kerala cuisine and household cooking.","100 g",₹60,₹50,https://supernovafoods.in/wp-content/uploads/egg-curry-masala-100g.jpg
56,Spices & Masalas,"Supernova Fennel Seeds (Saunf)","Supernova Fennel Seeds (Saunf) for authentic Kerala cuisine and household cooking.","100 g",₹56,₹45,https://supernovafoods.in/wp-content/uploads/fennel-seeds-100g.jpg
57,Spices & Masalas,"Supernova Fenugreek Seeds","Supernova Fenugreek Seeds for authentic Kerala cuisine and household cooking.","100 g",₹41,₹32,https://supernovafoods.in/wp-content/uploads/fenugreek-seeds-100g.jpg
58,Spices & Masalas,"Supernova Fish Curry Masala","Supernova Fish Curry Masala for authentic Kerala cuisine and household cooking.","100 g",₹79,₹65,https://supernovafoods.in/wp-content/uploads/fish-curry-masala-100g.jpg
59,Spices & Masalas,"Supernova Fish Fry Masala","Supernova Fish Fry Masala for authentic Kerala cuisine and household cooking.","100 g",₹75,₹62,https://supernovafoods.in/wp-content/uploads/fish-fry-masala-100g.jpg
60,Spices & Masalas,"Supernova Fish Pickle","Supernova Fish Pickle for authentic Kerala cuisine and household cooking.","200 g",₹219,₹180,https://supernovafoods.in/wp-content/uploads/fish-pickle-200g.jpg
61,Spices & Masalas,"Supernova Garam Masala","Supernova Garam Masala for authentic Kerala cuisine and household cooking.","100 g",₹133,₹110,https://supernovafoods.in/wp-content/uploads/garam-masala-100g.jpg
62,Spices & Masalas,"Supernova Garlic Pickle","Supernova Garlic Pickle for authentic Kerala cuisine and household cooking.","400 g",₹150,₹122,https://supernovafoods.in/wp-content/uploads/garlic-pickle-400g.jpg
63,Spices & Masalas,"Supernova Ginger Pickle","Supernova Ginger Pickle for authentic Kerala cuisine and household cooking.","400 g",₹138,₹112,https://supernovafoods.in/wp-content/uploads/ginger-pickle-400g.jpg
64,Spices & Masalas,"Supernova Gooseberry (Amla) Pickle","Supernova Gooseberry (Amla) Pickle for authentic Kerala cuisine and household cooking.","400 g",₹127,₹105,https://supernovafoods.in/wp-content/uploads/amla-pickle-400g.jpg
65,Spices & Masalas,"Supernova Green Chilly Pickle","Supernova Green Chilly Pickle for authentic Kerala cuisine and household cooking.","400 g",₹121,₹98,https://supernovafoods.in/wp-content/uploads/green-chilly-pickle-400g.jpg
66,Spices & Masalas,"Supernova Kashmiri Chilly Powder","Supernova Kashmiri Chilly Powder for authentic Kerala cuisine and household cooking.","100 g / 250 g / 500 g / 1 kg",₹110,₹92,https://supernovafoods.in/wp-content/uploads/kashmiri-chilly-100g.jpg
67,Spices & Masalas,"Supernova Kasuri Methi","Supernova Kasuri Methi for authentic Kerala cuisine and household cooking.","25 g",₹35,₹28,https://supernovafoods.in/wp-content/uploads/kasuri-methi-25g.jpg
68,Spices & Masalas,"Supernova Lemon Pickle","Supernova Lemon Pickle for authentic Kerala cuisine and household cooking.","400 g",₹121,₹100,https://supernovafoods.in/wp-content/uploads/lemon-pickle-400g.jpg
69,Spices & Masalas,"Supernova Mango Pickle","Supernova Mango Pickle for authentic Kerala cuisine and household cooking.","400 g",₹127,₹105,https://supernovafoods.in/wp-content/uploads/mango-pickle-400g.jpg
70,Spices & Masalas,"Supernova Meat Fry Masala","Supernova Meat Fry Masala for authentic Kerala cuisine and household cooking.","100 g",₹81,₹68,https://supernovafoods.in/wp-content/uploads/meat-fry-masala-100g.jpg
71,Spices & Masalas,"Supernova Meat Masala","Supernova Meat Masala for authentic Kerala cuisine and household cooking.","100 g",₹79,₹66,https://supernovafoods.in/wp-content/uploads/meat-masala-100g.jpg
72,Spices & Masalas,"Supernova Mixed Vegetable Pickle","Supernova Mixed Vegetable Pickle for authentic Kerala cuisine and household cooking.","400 g",₹133,₹108,https://supernovafoods.in/wp-content/uploads/veg-pickle-400g.jpg
73,Spices & Masalas,"Supernova Mustard Seeds","Supernova Mustard Seeds for authentic Kerala cuisine and household cooking.","100 g",₹37,₹30,https://supernovafoods.in/wp-content/uploads/mustard-seeds-100g.jpg
74,Spices & Masalas,"Supernova Nutmeg Pickle","Supernova Nutmeg Pickle for authentic Kerala cuisine and household cooking.","400 g",₹144,₹118,https://supernovafoods.in/wp-content/uploads/nutmeg-pickle-400g.jpg
75,Spices & Masalas,"Supernova Pav Bhaji Masala","Supernova Pav Bhaji Masala for authentic Kerala cuisine and household cooking.","100 g",₹72,₹58,https://supernovafoods.in/wp-content/uploads/pav-bhaji-masala-100g.jpg
76,Spices & Masalas,"Supernova Prawns Pickle","Supernova Prawns Pickle for authentic Kerala cuisine and household cooking.","200 g",₹253,₹210,https://supernovafoods.in/wp-content/uploads/prawns-pickle-200g.jpg
77,Spices & Masalas,"Supernova Rasam Powder","Supernova Rasam Powder for authentic Kerala cuisine and household cooking.","100 g",₹58,₹48,https://supernovafoods.in/wp-content/uploads/rasam-powder-100g.jpg
78,Spices & Masalas,"Supernova Sambar Powder","Supernova Sambar Powder for authentic Kerala cuisine and household cooking.","100 g",₹64,₹52,https://supernovafoods.in/wp-content/uploads/sambar-powder-100g.jpg
79,Spices & Masalas,"Supernova Tender Mango Pickle","Supernova Tender Mango Pickle for authentic Kerala cuisine and household cooking.","400 g",₹167,₹138,https://supernovafoods.in/wp-content/uploads/tender-mango-400g.jpg
80,Spices & Masalas,"Supernova Turmeric Powder","Supernova Turmeric Powder for authentic Kerala cuisine and household cooking.","100 g / 250 g / 500 g / 1 kg",₹41,₹33,https://supernovafoods.in/wp-content/uploads/turmeric-powder-100g.jpg
81,Spices & Masalas,"Supernova Vegetable Masala","Supernova Vegetable Masala for authentic Kerala cuisine and household cooking.","100 g",₹60,₹50,https://supernovafoods.in/wp-content/uploads/veg-masala-100g.jpg
82,Spices & Masalas,"Supernova White Lemon Pickle","Supernova White Lemon Pickle for authentic Kerala cuisine and household cooking.","400 g",₹115,₹95,https://supernovafoods.in/wp-content/uploads/white-lemon-400g.jpg
